Event	ID	Name			Wwise Object Path	Notes
	84185841	Play_Horse_Rocking			\Default Work Unit\Play_Horse_Rocking	
	354113329	Play_Logo_Jingle			\Default Work Unit\Play_Logo_Jingle	
	593020281	Play_Intro_Annonceurs			\Default Work Unit\Play_Intro_Annonceurs	
	1092160905	Play_Flail_miss			\Default Work Unit\Play_Flail_miss	
	1234332190	Play_Weapon_Selected			\Default Work Unit\Play_Weapon_Selected	
	1413915552	Play_Flail_hit			\Default Work Unit\Play_Flail_hit	
	1585422495	Play_Players_Win			\Default Work Unit\Play_Players_Win	
	1605983305	Play_Helm_Down			\Default Work Unit\Play_Helm_Down	
	1776375684	Play_Axe_hit			\Default Work Unit\Play_Axe_hit	
	1986109701	Play_Axe_miss			\Default Work Unit\Play_Axe_miss	
	2030803885	Play_PlayerKilledTooSoon			\Default Work Unit\Play_PlayerKilledTooSoon	
	2230898146	Stop_Crowds			\Default Work Unit\Stop_Crowds	
	2235630056	Play_Crowd_Hype			\Default Work Unit\Play_Crowd_Hype	
	2513009785	Play_Jingle_Success			\Default Work Unit\Play_Jingle_Success	
	2606865948	Play_Jingle_Start			\Default Work Unit\Play_Jingle_Start	
	2618475426	Play_Crowd_Extatic			\Default Work Unit\Play_Crowd_Extatic	
	2757160520	Play_Crowd_GetHyped			\Default Work Unit\Play_Crowd_GetHyped	
	2839405212	Stop_Ambiance			\Default Work Unit\Stop_Ambiance	
	2846880533	Play_Crowd_Surprise			\Default Work Unit\Play_Crowd_Surprise	
	2977442550	Play_Lance_miss			\Default Work Unit\Play_Lance_miss	
	3174479978	Play_Ambiance			\Default Work Unit\Play_Ambiance	
	3223684645	Play_Jingle_AllMiss			\Default Work Unit\Play_Jingle_AllMiss	
	3293666249	Play_Crowd_Deception			\Default Work Unit\Play_Crowd_Deception	
	3329728603	Stop_BattleMusic			\Default Work Unit\Stop_BattleMusic	
	3574353209	Play_Lance_hit			\Default Work Unit\Play_Lance_hit	
	3926520445	Play_BattleMusic			\Default Work Unit\Play_BattleMusic	

State Group	ID	Name			Wwise Object Path	Notes
	1263061326	EndFight			\Default Work Unit\EndFight	
	3508754124	Crowd_Fades			\Default Work Unit\Crowd_Fades	

State	ID	Name	State Group			Notes
	514064485	Fight	EndFight			
	529726532	End	EndFight			
	748895195	None	EndFight			
	748895195	None	Crowd_Fades			
	2077289708	Crowd_On	Crowd_Fades			
	3454331530	Crowd_Off	Crowd_Fades			

Custom State	ID	Name	State Group	Owner		Notes
	94349358	Crowd_Off	Crowd_Fades	\Interactive Music Hierarchy\Default Work Unit\Crowd\Crowd_Deception		
	240900977	End	EndFight	\Interactive Music Hierarchy\Default Work Unit\Crowd\Crowd_GetHyped		
	405091521	End	EndFight	\Interactive Music Hierarchy\Default Work Unit\Battle\BattleMusic		
	567689399	Crowd_Off	Crowd_Fades	\Interactive Music Hierarchy\Default Work Unit\Crowd\Crowd_Extatic		
	679888022	End	EndFight	\Interactive Music Hierarchy\Default Work Unit\Crowd\Crowd_Deception		
	717006546	End	EndFight	\Interactive Music Hierarchy\Default Work Unit\Crowd\Crowd_Extatic		
	794584903	Crowd_Off	Crowd_Fades	\Interactive Music Hierarchy\Default Work Unit\Crowd\Crowd_GetHyped		

Game Parameter	ID	Name			Wwise Object Path	Notes
	2658274463	Crowd_Hype			\Default Work Unit\Crowd_Hype	

Effect plug-ins	ID	Name	Type				Notes
	2513915904	Hall_Large	Wwise RoomVerb			
	3451596814	Hall_Medium	Wwise RoomVerb			
	3948262040	Octave_Down	Wwise Pitch Shifter			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	9100391	VOICE_StartingMatch	E:\Unity Projects\CasinoGameJam\jamnation-casino_WwiseProject\.cache\Mac\SFX\VOICE_StartingMatch_F17FB28C.wem		\Interactive Music Hierarchy\Default Work Unit\Voices\Match_Débute\VOICE_StartingMatch\VOICE_StartingMatch		524432
	18916997	SFX_Lance_Hit_3	E:\Unity Projects\CasinoGameJam\jamnation-casino_WwiseProject\.cache\Mac\SFX\SFX_Lance_Hit_3_F17FB28C.wem		\Interactive Music Hierarchy\Default Work Unit\Weapons\Lance_hit\SFX_Lance_Hit_3\SFX_Lance_Hit_3		133068
	55455432	Woodhorse_Rocking_4	E:\Unity Projects\CasinoGameJam\jamnation-casino_WwiseProject\.cache\Mac\SFX\Woodhorse_Rocking_4_F17FB28C.wem		\Interactive Music Hierarchy\Default Work Unit\Horse_Rocking\Woodhorse_Rocking_4\Woodhorse_Rocking_4		67580
	61816042	Crowd GettingHyped Loop	E:\Unity Projects\CasinoGameJam\jamnation-casino_WwiseProject\.cache\Mac\SFX\Crowd GettingHyped Loop_F17FB28C.wem		\Actor-Mixer Hierarchy\Default Work Unit\Crowd_Hype\GettingHyped\Crowd GettingHyped Loop		733260
	62949915	Hastilude_Jingle_START	E:\Unity Projects\CasinoGameJam\jamnation-casino_WwiseProject\.cache\Mac\SFX\Hastilude_Jingle_START_F17FB28C.wem		\Interactive Music Hierarchy\Default Work Unit\Jingles\Jingle_Start\Hastilude_Jingle_START\Hastilude_Jingle_START		1852392
	107328895	VOICE_Jousted	E:\Unity Projects\CasinoGameJam\jamnation-casino_WwiseProject\.cache\Mac\SFX\VOICE_Jousted_F17FB28C.wem		\Interactive Music Hierarchy\Default Work Unit\Voices\Players_Die\VOICE_Jousted\VOICE_Jousted		393360
	115869636	SFX_Lance_Miss_3	E:\Unity Projects\CasinoGameJam\jamnation-casino_WwiseProject\.cache\Mac\SFX\SFX_Lance_Miss_3_F17FB28C.wem		\Interactive Music Hierarchy\Default Work Unit\Weapons\Lance_miss\SFX_Lance_Miss_3\SFX_Lance_Miss_3		67532
	118182146	SFX_Axe_Throw_Hit_2	E:\Unity Projects\CasinoGameJam\jamnation-casino_WwiseProject\.cache\Mac\SFX\SFX_Axe_Throw_Hit_2_F17FB28C.wem		\Interactive Music Hierarchy\Default Work Unit\Weapons\Axe_hit\SFX_Axe_Throw_Hit_2\SFX_Axe_Throw_Hit_2		133068
	124737983	VOICE_PlayerHit_8	E:\Unity Projects\CasinoGameJam\jamnation-casino_WwiseProject\.cache\Mac\SFX\VOICE_PlayerHit_8_F17FB28C.wem		\Interactive Music Hierarchy\Default Work Unit\Voices\Players_Hit\VOICE_PlayerHit_8\VOICE_PlayerHit_8		786576
	185087658	Ambiance_wind_1	E:\Unity Projects\CasinoGameJam\jamnation-casino_WwiseProject\.cache\Mac\SFX\Ambiance_wind_1_F17FB28C.wem		\Interactive Music Hierarchy\Default Work Unit\Ambience\Ambience_Wind\Ambiance_wind_1\Ambiance_wind_1		15868056
